Siduri,wave,s_seker,MisparPrat,MishkalPrat,MishkalOrech,Leom,YachasKirvaKalkali,SemelAnaf1,SemelAnafY1,SemelMishlach1,SemelMishlachY1,ShaotBdk,TchunatAvodaBederechKlal,TchunatAvodaShnatit,TchunatAvodaShvuit,Yachas1,Min1,gil1,Mazav1,MisparMeshivP1,Zminut1,SibaLoZamin1,ChipesChodesh1,MekomotAvoda1,MamadAvoda1,MekabelSachar1,Yamim1,C_SachLemaase1,Oved351,MisraMelea1,IkaritPachot351,MikumAvoda11,AvadShana1,MamadAvoday1,MekabelSacharY1,YamimY1,ShaotAvodaY1,Oved35Y1,MisraMeleaY1,MikumAvodaY11,KamaAvadK1,SibaIkarit12Chod1,ChipesShana1,K_SemelMiktzLim1,K_SemelMiktzLim2,K_ShnatAliya,K_ShnLimKlali,M_eretz,M_eretzav,M_eretzem,MisparAchrai,SafaNosefetAcheret,SafaNosefetAnglit,SafaNosefetAravit,SafaNosefetIdish,SafaNosefetIvrit,SafaNosefetLoYodea,SafaNosefetRusit,SafaNosefetSfaradit,SafaNosefetZarfatit,dat,DatAteist,DatiutLoYehudi,datiutyehudi,MatzavBriut,BeayaBriut,BeayaMafria,KoshiHalicha,KoshiLevush,KoshiLehitrachetz,KoshiMB,KoshiZikaron,KoshiReia,KoshiShmia,MaonGanYesodi,Limudim,MaonGan,BateySeferLamad,BSYsh,Kita,TeudaGvoha,TeudaEretz,MiktzLim1MadaeiHevra,MiktzLim1Asakim,MiktzLim2MadaeiHevra,MiktzLim2Asakim,KriaHanaa,IvritDibur,IvritKria,IvritKtiva,misparav,misparem,K_Gova,K_Mishkal,K_SafaIkarit,K_SfatEm,K_sug_mosad,NifkadGalKodemH,Avad12Hodashim,ShanaAzmai,BrutoSachir,kamaAvadNY1,brutoazmaishnati1,schumbituach1,achnbruavodkodem1,schumsmartafut1,schummeshekbayit1,schumachnshiurprati1,schumachnhartzaa1,schumachacherz1,misparhodashimsmartafut1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimhartzaa1,misparhodashimachacher1,rechevkalul1,havraakalul1,matanakalul1,maanakkalul1,hishtatfutkalul1,tashlumacherkalul1,pitzuyimkalul1,pidyonkalul1,achnsmartafut1,achnmeshekbayit1,achnshiurprati1,achnhartzaa1,achacherz1,bituach1,misparhodashimbituah1,kamaAvadN2,hatavotLoBBruto,SacShnati_LePrat,Tlush1,Ofen_Mehush1,HashavAni1,PaamAchronaChashavAni1,KamaAvaddY1
19,4,2016,1,568.11151609,578.61356097,1,1,,,,,0,0,5,6,1,2,70,1,,,,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,5,1,3,3,,0,1,0,0,1,0,0,0,0,1,,,,2,2,,,,,,1,1,1,,1,,1,,,2,,,,,,4,1,1,1,,,5,6,1,2,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
19,4,2016,2,611.31280923,494.77081025,1,2,,,,,0,0,5,6,2,1,71,1,,,,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,3,5,4,,,,0,0,0,0,1,0,0,0,1,1,,,,2,1,2,2,1,1,1,1,1,1,,1,,1,,,2,,,,,,3,1,1,1,,,7,11,1,9,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
22,4,2016,1,1793.5822807,2155.654984,1,2,,P,,2,0,0,1,6,1,1,49,1,,,,2,,,,,0,,0,,,1,1,1,1,3,,2,1,4,,1,5,10,,6,1,1,3,,0,1,0,0,0,0,0,0,0,1,,,4,1,2,,,,,,1,1,1,,1,,1,,,5,1,1,,,,3,,,,,,7,12,1,1,1,1,6,,2300,2,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,204600,2,,4,,2
22,4,2016,2,1786.3904825,1993.5767824,1,1,O,,2,,45,1,2,1,2,2,44,1,,,,,1,1,1,5,35,,0,,,,,,,,,,,0,,,6,,,6,1,2,2,,0,1,0,0,0,0,0,1,0,1,,,,1,2,,,,,,1,1,1,,1,,1,,,4,1,,2,,,3,,,,,,4,5,1,1,1,1,12,,20000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,240000,2,,4,,
22,4,2016,3,1839.8069327,1943.7292313,1,3,,,,,0,0,5,6,3,2,18,5,,,,2,,,,,0,,0,,,2,,,,,,,,0,1,2,,,,,1,1,1,,0,1,1,0,0,0,0,0,0,1,,,,1,2,,,,,,1,1,1,,2,,2,1,12,,,,,,,2,,,,,,3,6,1,1,,2,0,,0,0,0,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,,0,90,,,,,
22,4,2016,4,1764.9947367,1943.7292313,1,3,,,,,0,0,,,3,1,13,,2,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,1,1,1,,0,1,0,0,0,0,0,0,0,1,,,,1,,,,,,,1,1,1,,2,,,1,8,,,,,,,3,,,,1,2,6,3,1,1,,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
22,4,2016,5,1764.9947367,1943.7292313,1,3,,,,,0,0,,,3,2,10,,2,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,1,1,1,,0,1,0,0,0,0,0,0,0,1,,,,1,,,,,,,1,1,1,,2,,,1,5,,,,,,,2,,,,1,2,1,1,1,1,,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
22,4,2016,6,1839.8069327,1943.7292313,1,3,,,,,0,0,5,6,3,2,16,5,1,,,2,,,,,0,,0,,,2,,,,,,,,0,1,2,,,,,1,1,1,,0,1,0,0,0,0,0,0,0,1,,,,1,2,,,,,,1,1,1,,1,,,,,,,,,,,99999998,,,,1,2,4,99999998,1,1,,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
23,4,2016,1,1200.4936906,,1,3,,,,,0,0,,,1,1,80,4,,,,,,,,,0,,0,,,2,,,,,,,,0,,,,,1,,2,,,,0,0,0,0,0,1,0,0,0,1,,,,3,1,1,3,2,2,4,3,4,3,,1,,3,,,7,,,,,,5,,,,,,4,5,1,1,,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,3,3,
23,4,2016,3,1193.9729277,,1,1,H,,3,,42,1,2,2,3,2,53,5,,,,,1,1,1,5,26,,0,,2,,,,,,,,,0,,,,,,5,1,2,1,,0,0,0,0,0,1,0,0,0,1,,,,2,1,2,2,1,1,1,1,1,1,,1,,1,,,3,,,,,,2,,,,,,2,9,1,1,,2,12,,9875.5833333,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,118507,,,4,,
