Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,MbNifkadGalKodem,HDividendShnatit,HEsekShnatit,HHashkaotShnatit,HRibitShnatit,HSchirutShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,GodelKarkaLoChaklait,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,KarkaChaklaitSetach,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_SetachMigrashBayitprati,M_ShuviDira,m_YeshAshrai,SchumHalvaaLoDiyur1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,ShanaRechishaK1,ChodeshRechishaK1,ChodeshRechishaB1,m_DmeSchirutChodeshi,MatbeaKnuya1,MatbeaBniya1,MatbeaAlutBniya1,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HasakaPratit1,K_MispHadarim1,K_MispHadarimMegurim1,KamaGinaPratit1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,k_baalut1,k_MispMeconiyot1,k_mizug1,k_ShaotOzeret1,Meconit1,Ozeret1,ShuviDiraYoter1,SinuyDira21,SinuyDiraP21,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,BituachMenahalimMb1,GemelVPizuyimMB1,kHishMB1,kNeemanutMB1,kPensiaMB1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,PikdonotMB1,PniyaBank1,TChisachonMB1,m_KesefMB1,m_SchumHalvaaDiyur1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1
4123,,4,2016,430.8217446,1,0,0,0,0,0,0,0,0,0,0,336000,34389.5,375889.5,2,0,2,1,1,,,,,,,2,2,99999998,,99999998,1,,,,,,2006,5,,,2,,,2,2,2,2,,2,,2,,,,,,,,,,,,,,,1,2,,2,2,2,,2,2,,,1,5,4,,,,3,2,,,2,,2,,,,,,2,1,2,1,3,3,,515000,,2,4,2,1,4,7,1,4,,,,,,,,,1,,,160,5,5,,,1,4,1,,2,,2,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,2,2
4124,,4,2016,496.0641982,1,0,0,0,0,0,0,0,0,0,0,0,35820,112820,1,0,1,0,1,,,,,99999998,,2,2,6000,,99999998,1,,,,,,1973,7,,,1,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,,4,4,2,,2,2,,,3,2,2,,,,2,2,,,2,,2,,,,,,2,0,2,2,3,4,,45000,,2,3,2,2,2,3,2,3,,,,,,,,,1,,,55,3,4,,,1,4,1,,2,,2,2,,2,2,,,,,2,1,2,2,2,,,,1,,2,4,0,,,,,,,,,,0,,,,,,,,,,,,4,,,,,1,,,,2,2
4126,,4,2016,501.5625981,1,0,0,0,0,0,0,0,0,0,0,0,27564,27564,1,0,1,1,0,,,,,,,2,2,99999999,2000,99999999,1,,,,,,1978,5,,,,,,1,2,2,,,2,,2,,,,,,,,,,,,,,,2,2,,3,3,2,,2,,,,3,4,4,,,1,1,2,,,2,,2,,,,1,,2,0,2,1,3,3,,99999998,1,1,4,1,2,,,1,,,,,,,,,,1,,,90,5,1,,,1,8,1,2,2,,1,2,,2,2,,,,,99999999,99999999,99999999,99999999,99999999,,,,99999999,,99999999,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,99999999,99999999
4127,,4,2016,455.4757157,2,0,0,0,0,0,0,0,0,0,0,0,36384,36384,1,0,1,1,0,,,,,99999998,,2,2,99999998,,99999998,1,,,,,,1950,1,,,,,,2,2,2,,,2,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,3,2,,2,,,2,3,3,2,,3,1,1,2,,,2,,2,,,,,5,2,0,2,2,3,3,,99999998,,2,4,1,2,2,4,4,2,2,2,2,2,2,2,2,2,1,,,90,5,99999998,,2,1,4,1,,3,4,2,1,,,,2,1,1,2,2,2,2,2,2,,,,1,,2,5,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,2,2
4129,,4,2016,622.5557039,1,0,0,0,0,0,84000,0,0,0,0,18000,31308,133308,1,0,1,0,1,,,,,99999998,,2,2,99999998,,99999998,1,,,,,,1988,99999998,,,,,,2,2,1,3,,2,,2,,,,,,,,,,,,,,,1,2,,3,3,2,,2,2,,,3,4,2,,,,2,2,,,2,,2,,,,,,2,1,2,2,3,3,,99999998,,2,3,2,1,2,3,2,,,,,,,,,,1,,,85,5,6,,,1,4,1,1,2,,1,2,,2,2,,,,,2,1,1,2,1,,,,1,,2,5,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,2,2
4132,,4,2016,400.7474264,1,0,0,0,0,0,0,0,0,0,0,0,37200,283082,1,0,1,0,1,,,,,99999999,,2,2,15000,,2000000,1,,,,,,99999998,99999998,,,1,,,2,2,2,2,,2,,2,,,,,,,,,,,,,,,1,2,,4,2,2,,2,2,,,3,4,1,,,,2,2,,,2,,2,,,,,,2,1,2,2,4,3,,900000,,2,3,2,2,3,3,3,3,,,,,,,,,1,,,100,3,7,,,1,4,1,1,1,1,1,1,,2,2,2,1,2,2,1,1,1,2,1,,,,1,,2,5,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,2,2
4136,,4,2016,867.5731969,1,0,0,0,0,0,0,0,0,0,0,120000,37296,157296,1,0,1,0,1,,,,,,,2,2,10000,,,1,,,,,,,,,6000,,,,2,2,2,,,,,2,,,,,,,,,,,,,,,2,2,2,4,3,1,2,,2,,,2,2,2,,,,1,2,,,2,,2,,,,1300000,,2,4,2,2,99999998,3,,,1,1,,,2,5,8,,8,,,,,,,,,,,,99999998,3,,,,1,4,2,,1,,2,2,,,,,,,,2,2,2,2,2,,3,,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1
4139,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,21600,0,0,38220,59820,1,0,1,0,1,,,,,,,2,2,1000,,,2,,,,,,,,,600,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,,4,3,2,2,,,,,3,1,1,,,,1,2,,,2,,2,,,,,,2,1,2,2,3,3,,,,2,2,2,2,3,5,,4,,,,,,,,,,,,56,1,,,,1,4,2,,2,4,2,1,,,,2,1,1,2,2,2,2,2,2,,,,2,,2,99999998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4140,,4,2016,867.5731969,1,0,0,0,0,0,0,0,0,0,0,79320,26772,106092,1,0,1,0,1,,300000,,,99999998,,2,2,99999998,,,1,,,,,,,,,4800,,,,1,2,2,,,,,2,,,,,,,,,,,,,,,2,2,2,4,3,2,2,,,,,2,2,1,,,1,1,2,,,2,,2,,,,,,2,2,2,2,3,3,,,,2,2,1,2,5,13,,8,,,,,,,,,,,,70,5,,,,1,4,2,,1,4,2,1,,,,2,1,1,2,2,1,2,2,1,,3,,1,2,1,5,0,5,2016,10,,,,,,,0,,,,,,,,,,,,99999998,,4,99999998,1,1,,,,2,1
4144,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,0,29112,29112,1,0,1,0,1,,,,,500000,,2,2,0,,99999998,2,,,,,,1966,99999998,,,2,,,,,,,,2,,2,,,,,,,,,,,,,,,2,2,,3,3,2,,2,,,,3,2,2,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,4,,12000,,2,3,2,2,2,4,1,,,,,,,,,,1,,,73,4,3,,,1,4,1,,3,,2,2,,2,2,,,,,2,1,2,2,1,,,,1,,2,5,0,,,,,,,,,,5,2016,1,,,,,,,,,,,,,,,2,,,1,2,2
4146,,4,2016,411.5313164,1,0,0,0,0,24000,0,0,0,0,0,216000,40428,280428,1,0,1,0,1,,,,,100000,,2,2,20000,,2500000,1,,,,,,,,99999998,,,1,1,2,2,2,2,200000,2,2,1,1,,,,,,,,,,,,,,1,1,,2,1,1,,2,1,35,,3,5,2,1,,,3,2,,,2,,2,,,,,,2,0,2,1,3,3,50000,,,2,3,,1,,,,,,,,,,,,,2,1,,160,5,7,1998,,1,5,1,1,1,,1,2,,2,2,,,,,2,1,2,2,1,,,,1,,2,5,0,,,,,,,,,,1,2016,1,,,,,,,,,,,,,,,2,,,1,2,2
4147,,4,2016,246.5125134,1,0,0,0,0,0,0,0,0,0,0,180000,27564,207564,2,0,2,1,1,,99999999,,,99999999,,2,2,20000,,2450000,1,,,,,,1990,1,,,,,,2,2,1,1,,2,,2,,,,,,,,,,,,,,,1,1,,2,2,2,,2,2,,,3,5,5,,,1,2,2,,,2,,2,,,,,,2,1,2,2,4,3,,99999998,,2,4,1,1,2,4,2,2,,,,,,,,,1,,,100,5,6,,,1,4,1,1,2,1,1,1,,2,2,2,1,2,2,2,2,2,99999998,2,,,,1,,1,5,0,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,,1,2
4150,,4,2016,605.6405029,2,0,0,0,0,0,0,0,0,0,0,0,425.5,109886.5,1,0,1,1,0,,,,,,,2,1,12000,,,1,99999999,,,,,,,,,,,,2,2,1,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,,4,3,2,,2,,,2,3,2,2,,2,1,0,2,,,2,,2,,,,,1,2,0,2,2,3,3,,,,2,4,1,1,2,3,,2,2,2,2,1,2,2,2,2,3,,,60,3,3,,2,1,4,1,,2,1,2,1,,,,2,1,2,2,2,1,2,2,1,,,,2,,2,99999999,0,,,,,,,,,,,,,,2,2,2,1,2,2,,,1,,,,,1,,,,2,2
4151,,4,2016,495.8806802,1,0,0,0,0,30000,0,0,0,0,0,9600,30312,69912,1,0,1,0,1,,,,,,,2,2,99999998,,700000,1,,,,,,2010,9,,,1,,,2,2,2,,,,,2,,,,,,,,,,,,,,,2,2,,4,3,2,2,,1,140,,3,3,3,1,,1,1,2,,,2,,2,,,,,,2,1,2,1,3,3,,550000,,2,1,1,1,2,5,1,1,,,,,,,,,1,,,75,3,99999998,,,1,2,1,1,2,,1,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4155,,4,2016,307.9701878,1,0,0,1750,0,0,0,0,0,0,0,60000,60067.16667,121817.1667,2,0,2,1,1,,,,,,,1,2,20000,,1500000,1,,50,,50,,1973,99999998,,,,,,2,1,1,,,2,,2,,,,,,,,,,,,,,,2,2,,1,2,2,,2,2,,,3,3,3,,,,2,2,,,2,,2,,,,,,2,1,2,2,3,3,,99999998,,2,1,2,1,4,7,2,4,,,,,,,,,1,,,75,2,4,,,1,4,1,1,2,,1,2,,2,2,,,,,2,1,1,2,1,,,,2,,2,4,35000,,,,0,,,,,,,,,,,,,,,,2,,2,,2,,,1,0,,,1,2
4156,,4,2016,307.9701878,1,0,0,0,0,0,0,0,0,0,0,120000,55128,175128,2,0,2,1,1,,,,,,,1,2,10000,,3000000,1,,,,,,2003,8,,,1,,,1,1,1,1,,2,,2,,,,,,,,,,,,,,,1,1,2,2,2,2,,2,2,,,3,3,3,,,1,2,2,,,2,,2,,,,,,2,2,2,1,3,3,,1100000,,2,3,1,2,4,11,2,4,,,,,,,,,1,,,87,5,8,,,1,4,1,1,1,,1,2,,2,2,,,,,2,2,2,2,1,,6,2,2,1,2,3,300000,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,2,1
4157,,4,2016,294.9655696,1,0,0,0,0,0,0,0,0,0,0,0,72192,72192,2,0,2,1,1,,,,,,,2,2,99999998,,300000,2,,,,,,1976,99999998,,,7,,,,,,,,2,,,,2,,,,,,,,,,,,,2,2,,4,5,2,,2,2,,,3,2,1,,,,1,2,,,2,,2,,,,,,2,0,2,2,5,5,,70000,,2,4,2,2,3,4,1,4,,,,,,,,,1,,,68,2,5,,,1,4,1,,2,,2,2,3,2,2,,,,,2,2,2,2,2,,,,2,,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4159,,4,2016,868.5174648,1,0,0,0,0,0,0,0,0,0,0,0,35820,35820,1,0,1,0,1,,300000,,,,,2,2,99999998,,99999998,1,,,,,,1996,6,,,,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,1,,3,2,2,,2,1,150,,3,3,3,1,,,2,2,,,2,,2,,,,,,2,0,2,2,3,3,,99999998,,2,4,2,2,1,2,1,2,,,,,,,,,1,,,95,5,99999998,,,1,2,1,1,1,1,1,1,,2,2,2,1,2,2,2,1,2,2,99999998,,,,2,,1,4,0,3,2016,1,,,,,,,,,,,,,,,,,,,4,,2,,1,1,,,,2,2
4162,,4,2016,592.8890892,1,0,0,0,0,0,0,0,0,0,0,0,27564,87564,1,0,1,1,0,,,,,,,2,2,15000,,500000,1,,,,,,1990,99999998,,,2,,,2,2,1,,,2,2,,,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,,2,2,2,,2,,,2,2,3,3,,3,,1,1,,,2,,2,,,500000,,6,2,0,2,1,3,3,,25000,,2,3,2,1,4,7,2,4,2,1,2,1,2,1,2,1,1,,,74,5,4,,2,1,4,1,1,2,,1,2,,,,,,,,2,2,2,2,1,,,,2,,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4164,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,0,33330.33333,33330.33333,1,0,1,0,1,,,,,,,2,2,12000,,99999998,1,,,,,,1971,99999998,,,,,,1,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,,3,3,2,,2,2,,,3,3,3,,,,2,2,,,2,,2,,,,,,2,3,2,2,3,3,,99999998,,2,4,2,2,4,4,1,2,,,,,,,,,1,,,75,2,3,,,1,4,1,,2,,2,2,,2,2,,,,,2,2,2,2,1,,,,2,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4165,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,14400,27564,41964,1,0,1,0,1,,,,,,,2,2,5000,,,1,,,,,,,,,300,,,,2,2,1,,,,,2,,,,,,,,,,,,,,,,2,,3,3,2,2,,2,,,3,2,2,,,1,2,2,,,2,,2,,,,,,2,0,2,2,3,3,,,,2,4,1,1,2,4,,3,,,,,,,,,,,,55,2,,,,1,4,2,,2,1,2,1,,,,2,1,2,2,2,2,2,2,1,,,,2,,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4167,,4,2016,294.9655696,1,0,0,0,0,72000,0,0,0,0,0,0,63384,315384,2,0,2,1,1,,,,,,,1,2,140000,,2500000,1,,,,,,1992,11,,,2,,,1,1,1,1,,,2,1,2,,,,,,,,,,,,,,1,1,2,4,3,1,2,,2,,,3,5,5,,,,3,2,,,2,,2,,,,,,2,0,2,1,4,3,,300000,,2,3,,2,3,6,1,2,,,,,,,,,1,,,160,5,6,,,1,3,1,2,2,1,1,1,,2,2,2,1,2,2,2,1,1,2,1,,12,8,2,1,2,1,800000,,,,,,,,,,,,,2500000,,,,,,,2,,,,,,,2,,,,2,1
4169,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,72000,27564,99564,1,0,1,0,1,,,,,,,2,2,99999998,,99999998,1,,,,,,1992,7,,,,,,2,1,1,,,2,,,,2,,,,,,,,,,,,,2,2,,4,4,2,,2,2,,,3,3,3,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,99999999,,2,4,2,2,2,4,1,2,,,,,,,,,1,,,60,3,99999998,,,1,4,1,1,1,,1,2,,2,2,,,,,1,1,2,99999998,1,,,,2,,2,99999998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,99999998,2
4171,,4,2016,455.4757157,2,0,0,0,0,96000,0,0,0,0,0,0,27564,123564,1,0,1,1,0,,,,,,,2,2,30000,,,1,,,,,,,,,,,,,2,2,1,2,,2,2,,,1,3,2,2,2,2,2,2,2,2,2,1,2,1,2,,3,4,1,,1,2,,2,3,2,1,,3,,1,2,1600000,,2,,2,,,,,5,2,0,2,2,2,3,,,,2,4,,2,2,4,,1,2,2,2,2,2,2,2,2,3,,,57,5,1,,2,1,4,1,1,1,1,1,1,,,,2,1,2,2,1,1,2,2,2,,,,2,,2,5,0,,,,,,,,,,,,,8000000,,,,,,,,99999999,,,,,,1,,,,2,2
4173,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,18600,28652.25758,59252.25758,1,0,1,0,1,,99999999,,,99999999,,2,1,30000,,2100000,1,1100,,,,,1995,4,,,2,,,2,2,1,,,2,,,,2,,,,,,,,,,,,,2,2,,4,3,2,,2,2,,,3,2,2,,,,1,2,,,2,,2,,,,,,2,1,2,2,3,2,,175000,,2,3,2,2,3,5,1,2,,,,,,,,,1,,,46,1,99999998,,,1,4,1,,3,,2,2,3,2,2,,,,,2,2,2,2,2,,,,1,,1,3,0,0,,,,,,,,,0,,,,2,2,2,1,2,2,,99999999,,,,,,1,,,,2,2
4174,,4,2016,623.0131444,1,0,0,0,0,228000,0,28800,0,0,0,72000,27564,356364,1,0,1,0,1,,,,99999998,99999998,,2,2,99999998,,3000000,1,,,,20,,2003,4,,,2,,,1,2,1,,,2,2,1,1,,,,,,,,,,,,,,2,2,,4,3,2,,1,2,,,3,3,3,,,,2,1,250000,,2,,2,,,99999998,,,2,1,1,2,4,4,,280000,,2,1,2,2,4,8,1,4,,,,,,,,,1,,,96,4,5,,,1,4,1,1,1,1,1,1,,2,2,2,1,2,2,2,1,1,1,2,,,,1,,2,5,0,,,,0,,,0,,,0,,,4000000,,,,,,,,,4,,4,4,,1,,,,1,2
4175,,4,2016,194.3658384,1,0,0,0,0,0,0,0,0,0,0,120000,27564,147564,2,0,2,1,1,,,,,,,1,1,30000,,99999998,1,40000,,,,,2002,10,,,,,,2,2,1,2,,2,,2,,,,,,,,,,,,,,,1,1,,3,3,2,,2,2,,,3,5,3,,,1,2,2,,,2,,2,,,,,,2,1,2,1,3,3,,99999998,,2,1,1,1,4,4,2,2,,,,,,,,,1,,,120,3,8,,,1,4,1,1,1,,1,2,,2,2,,,,,2,2,2,2,1,,,,2,,2,4,100000,,,,,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,2,,,,2,2
4176,,4,2016,685.9184394,1,0,0,0,0,55200,0,0,0,0,0,0,24984,80184,1,0,1,0,1,,,,,,,2,2,99999998,,,1,,,,,,,,,4200,,,,2,2,1,,,,2,1,1,,,,,,,,,,,,,,,2,,4,3,2,2,,2,,,3,4,4,,,,2,2,,,2,,2,,,,,,2,1,2,2,3,3,,,,2,3,2,1,2,4,,2,,,,,,,,,,,,92,2,,,,1,4,2,1,2,,1,2,,,,,,,,2,2,2,2,2,,,,2,,2,3,0,,,,,,,,,,,,,99999998,,,,,,,,,,,,,,2,,,,2,2
4178,,4,2016,586.9995771,1,0,0,0,0,48000,0,0,0,54000,0,51600,44052,197652,1,0,1,0,1,,,,,99999998,,2,2,10000,,,1,,,,,,,,,4500,,,,1,2,1,,,,2,1,1,,,,,,,,,,,,,,,2,,3,3,2,2,,2,,,3,2,1,,,1,1,2,,,2,,2,,,,,,2,4,2,2,3,4,,,,2,4,1,2,5,5,,99999998,,,,,,,,,,,,48,3,,,,1,4,2,1,1,,1,2,,,,,,,,2,2,1,2,1,,,,1,,2,5,0,,,,,,,,,,0,,,99999998,,,,,,,,,,,4,,,1,,,,2,2
4180,,4,2016,400.7474264,1,0,0,0,0,0,0,0,0,0,0,0,39624,39624,1,0,1,0,1,,,,,,,2,2,99999998,,,1,,,,,,,,,99999998,,,,1,2,2,,,,,2,,,,,,,,,,,,,,,,2,,3,3,2,2,,2,,,3,2,1,,,1,1,2,,,2,,2,,,,,,2,6,2,2,4,3,,,,2,,1,1,5,8,,99999998,,,,,,,,,,,,99999998,3,,,,1,4,2,,2,3,2,1,,,,2,1,2,2,2,2,2,2,2,,,,2,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,99999998,,,,2,2
4181,,4,2016,586.9995771,1,0,0,0,0,0,0,0,0,0,0,0,33252,33252,1,0,1,0,1,,,,,1000000,,2,2,20000,,1300000,1,,,,,,2005,6,,,2,,,1,2,1,1,,2,,2,,,,,,,,,,,,,,,1,2,,4,3,2,,2,2,,,2,3,2,,,,1,2,,,2,,2,,,,,,2,1,2,2,3,4,,180000,,2,3,2,1,4,9,1,3,,,,,,,,,1,,,87,1,4,,,1,4,1,,2,1,2,1,,2,2,2,1,2,2,2,2,2,2,2,,,,1,,2,3,0,,,,,,,,,,1,2016,1,,,,,,,,,,,,,,,2,,,1,2,2
4183,,4,2016,623.0131444,1,0,0,0,0,0,0,0,0,0,0,0,35083.16667,35083.16667,1,0,1,0,1,,,,,,,2,2,99999998,,1400000,2,,,,,,2003,99999998,,,2,,,,,,,,2,,2,,,,,,,,,,,,,,,2,2,,4,3,2,,2,2,,,3,2,2,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,78000,,2,4,2,2,2,4,1,2,,,,,,,,,1,,,50,1,2,,,1,4,1,,3,4,2,1,,2,2,2,1,1,2,2,2,2,2,2,,,,2,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4184,,4,2016,623.0131444,1,0,0,0,0,48000,0,0,0,0,0,0,39396,87396,1,0,1,0,1,,,,,80000,,2,2,7000,,2500000,1,,,,,,2001,99999998,,,0,,,1,2,1,,,2,,,,2,,,,,,,,,,,,,2,2,2,3,3,2,,2,,,,3,3,2,,,1,2,2,,,2,,2,,,,,,2,2,2,1,3,3,,99999998,,2,4,1,2,4,6,2,4,,,,,,,,,1,,,70,2,8,,,1,4,1,,1,,2,2,3,2,2,,,,,2,1,2,2,2,,3,,1,2,2,2,0,,,,,,,,,,4,2016,1,,,,,,,,,,,,,,,2,,,1,2,1
4185,,4,2016,385.3390759,1,0,0,0,0,0,0,0,0,0,0,0,35651.5,35651.5,1,0,1,0,1,,,,,,,2,2,2000,,,2,,,,,,,,,1500,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,4,3,2,2,,2,,,3,3,3,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,4,,,,2,,2,2,4,3,,2,,,,,,,,,,,,99999998,1,,,,1,4,2,,2,,2,2,,,,,,,,2,2,2,2,2,,,,2,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4188,,4,2016,496.0641982,1,0,0,0,0,0,0,0,0,48000,0,10800,38424,97224,1,0,1,0,1,,,,,,,2,2,99999998,,99999998,1,,,,,,2007,6,,,2,,,1,2,1,1,,2,,2,,,,,,,,,,,,,,,1,2,,4,3,2,,2,2,,,3,3,3,,,1,2,2,,,2,,2,,,,,,2,1,2,1,3,3,,320000,,2,1,1,1,3,4,1,3,,,,,,,,,1,,,90,1,9,,,1,4,1,1,1,,1,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4192,,4,2016,717.0674107,1,0,0,0,0,0,0,0,0,0,0,0,28359.5,32830.5,1,0,1,1,0,,,,,,,2,1,2000,,99999998,1,13000,,,,,1984,99999998,,,2,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,,4,5,2,,2,2,,,3,2,2,,,1,1,2,,,2,,2,,,,,,2,0,2,2,2,5,,25000,,2,4,1,1,2,4,1,2,,,,,,,,,1,,,57,3,2,,,1,4,1,,3,,2,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,3,0,,,,,,,,,,,,,,2,2,2,1,2,2,,,,,,,,2,,,,2,2
4193,,4,2016,867.5731969,1,0,0,0,0,0,0,0,0,0,0,74400,28932,103332,1,0,1,0,1,,99999998,,,,,2,2,99999998,,1000000,1,,,,,,1974,99999998,,,7,,,2,2,2,,,2,,2,,,,,,,,,,,,,,,2,2,,4,4,2,,2,2,,,3,2,1,,,,1,2,,,2,,2,,,,,,2,0,2,2,4,4,,118000,,2,4,2,2,1,2,1,2,,,,,,,,,1,,,42,5,1,,,1,4,1,,3,,2,2,,2,2,,,,,2,2,2,2,2,,,,2,,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4194,,4,2016,294.9655696,1,0,0,0,0,0,0,0,0,0,0,74400,55128,129528,2,0,2,1,1,,,,,,,2,2,99999999,,99999998,1,,,,,,1969,8,,,7,,,2,2,1,2,,,2,1,1,,,,,,,,,,,,,,1,2,,4,3,2,2,,2,,,3,3,3,,,,2,2,,,2,,2,,,,,,2,0,2,1,99999998,4,,45000,,2,1,2,1,2,3,2,3,,,,,,,,,1,,,88,4,4,,,1,4,1,1,1,,1,2,,2,2,,,,,2,2,2,2,1,,,,2,,2,5,0,,,,,,,,,,,,,99999998,,,,,,,,,,,4,,,1,,,,2,2
