Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,MbNifkadGalKodem,HDividendShnatit,HEsekShnatit,HHashkaotShnatit,HRibitShnatit,HSchirutShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,GodelKarkaLoChaklait,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,KarkaChaklaitSetach,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_SetachMigrashBayitprati,M_ShuviDira,m_YeshAshrai,SchumHalvaaLoDiyur1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,ShanaRechishaK1,ChodeshRechishaK1,ChodeshRechishaB1,m_DmeSchirutChodeshi,MatbeaKnuya1,MatbeaBniya1,MatbeaAlutBniya1,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HasakaPratit1,K_MispHadarim1,K_MispHadarimMegurim1,KamaGinaPratit1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,k_baalut1,k_MispMeconiyot1,k_mizug1,k_ShaotOzeret1,Meconit1,Ozeret1,ShuviDiraYoter1,SinuyDira21,SinuyDiraP21,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,BituachMenahalimMb1,GemelVPizuyimMB1,kHishMB1,kNeemanutMB1,kPensiaMB1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,PikdonotMB1,PniyaBank1,TChisachonMB1,m_KesefMB1,m_SchumHalvaaDiyur1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1
4213,,4,2016,260.7707445,1,0,0,0,0,0,0,0,0,0,0,0,26820,160827,2,0,2,1,1,,,,,,,1,2,0,,99999998,0,,,,,,99999998,99999998,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,4,3,2,,2,,,,,,,,,,,2,,,2,,2,,,,,,2,,,,3,3,,99999998,,2,,,,1,2,1,1,,,,,,,,,1,,,,5,99999998,,,99999999,2,1,2,,,1,2,,2,2,,,,,2,99999999,2,2,99999999,,,,99999999,,2,99999999,99999999,,,,,,,,,,,,,,,,,,,,2,,,,,,,99999999,,,,2,
4214,,4,2016,1258.26364,1,0,0,0,0,0,44400,0,0,0,0,0,3800,218680,5,2,3,1,2,,,,,,,1,1,10000,,2000000,1,50000,,,,,2010,8,,,1,,,2,2,2,1,,2,,2,,,,,,,,,,,,,,,1,1,2,4,5,2,,2,2,,,3,5,5,,,2,4,2,,,2,,2,,,,,,2,1,2,2,3,3,,1700000,,2,3,1,1,3,6,2,4,,,,,,,,,1,,,160,3,9,,,1,3,1,1,1,,1,2,,2,2,,,,,2,2,1,2,1,,12,,2,2,2,1,800000,,,,,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,2,,,,2,1
4215,,4,2016,868.5174648,1,0,0,0,0,0,0,0,0,0,0,0,25080,25080,1,0,1,0,1,,99999998,,,,,2,2,99999998,,99999998,1,,,,,,1979,99999998,,,,,,2,99999998,99999998,,,2,,2,,,,,,,,,,,,,,,2,2,,99999998,2,2,,1,,,,3,3,2,,,,1,2,99999998,,2,,2,,,,,,2,0,2,2,3,3,,99999998,,2,1,2,2,3,3,1,2,,,,,,,,,1,,,70,3,99999998,,,1,4,1,,2,,2,2,,2,2,,,,,2,99999998,1,99999998,1,,,,99999998,,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,99999998
4216,,4,2016,639.2576552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,,2,2,50000,,1400000,1,,,,,,2008,9,,,1,,,2,2,1,2,,,,2,,,,,,,,,,,,,,,1,1,,3,3,2,2,,,,,3,4,4,,,1,2,2,,,2,,2,,,,,,2,2,2,2,3,3,,900000,,2,1,1,1,4,7,2,4,,,,,,,,,1,,,100,2,9,,,1,4,1,1,1,,1,2,,2,2,,,,,2,1,1,2,1,,,,2,,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4217,,4,2016,525.1611705,1,0,0,0,0,0,0,0,0,0,0,0,36220,36220,1,0,1,0,1,,,,,,,2,2,0,,,2,,,,,,,,,200,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,99999998,99999998,2,2,,2,,,2,4,4,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,,,2,4,2,1,4,4,,2,,,,,,,,,,,,70,3,,,,1,4,2,,3,,2,2,,,,,,,,2,2,2,2,2,,,,2,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
4218,,4,2016,918.6003957,1,0,0,0,0,0,0,0,0,12936.9,0,48000,23280,84216.9,1,0,1,0,1,,,,,300000,,2,2,99999998,,99999998,1,,,,,,2004,7,,,1,,,2,2,2,1,,2,,2,,,,,,,,,,,,,,,1,2,,99999998,3,2,,2,2,,,1,4,4,,,1,2,2,,,2,,2,,,,,,2,1,2,1,3,3,,860000,,2,4,1,2,2,4,2,1,,,,,,,,,1,,,110,2,8,,,1,4,1,1,1,,1,2,,2,2,,,,,2,2,2,2,2,,,,1,,2,4,0,,,,,,,,,,6,2016,30,,,,,,,,,,4,,4,,,1,,,1,2,2
4219,,4,2016,223.8637464,1,0,0,0,0,0,0,0,0,0,0,0,0,845751,2,0,2,1,1,,,,,,,1,2,70000,,1500000,1,,,,,,2013,5,,,1,,,2,2,1,2,,2,2,1,2,,,,,,,,,,,,,,1,1,2,3,3,2,,2,2,,,3,4,1,,,1,2,2,,,2,,2,,,,,,2,1,2,2,3,3,,1500000,,2,3,1,1,2,2,1,2,,,,,,,,,1,,,89,3,8,,,1,4,1,2,2,,1,2,,2,2,,,,,2,1,1,2,1,,12,,2,2,2,1,450000,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,2,1
4220,,4,2016,447.6544506,1,0,0,0,0,0,0,0,0,3600,0,0,27564,31164,1,0,1,1,0,,99999999,,,99999999,,2,2,99999999,,99999998,1,,,,,,1995,2,,,,,,2,2,1,,,2,,2,,,,,,,,,,,,,,,2,2,,3,3,2,,2,2,,,3,2,2,,,1,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,99999999,,2,3,1,1,3,5,1,2,,,,,,,,,1,,,68,3,2,,,1,4,1,,2,,2,2,,2,2,,,,,2,1,2,2,2,,,,1,,1,99999999,0,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,,1,2
4221,,4,2016,356.4654667,1,0,0,0,0,0,0,0,0,0,0,0,19450.5,326950.5,3,1,2,1,1,,99999998,,,99999998,,2,2,28000,,,1,,,,,,,,,6500,,,,2,2,2,2,,,,2,,,,2,1,2,1,1,1,2,2,1,1,1,1,2,2,3,3,2,2,,,,,1,4,3,,3,1,2,2,,99999999,2,,2,,,,,1,1,1,2,2,3,4,,,,2,4,1,2,3,4,,2,1,1,2,1,2,2,2,2,,,,90,4,99999998,,,1,4,2,1,1,1,1,1,,,,2,1,2,2,1,1,1,2,1,,99999998,2,1,1,1,4,0,0,,,,,,,,,0,,,,,,,,,,,,,,,99999998,,1,,,,2,1
4222,,4,2016,645.5518924,1,0,0,0,0,0,0,0,0,0,0,0,0,264000,3,0,3,2,1,,,,,,,2,1,25000,,,1,99999999,,,,,,,,4300,,,,2,1,1,,,,,2,,,,,,,,,,,,,,,,2,2,3,5,2,2,,2,,,3,4,2,,,,2,2,,,2,,2,,,,,,99999998,2,2,2,1,3,,,,2,4,2,1,4,12,,4,,,,,,,,,,,,120,4,,,,1,4,2,1,2,,1,2,,,,,,,,2,1,1,2,1,,10,,2,2,99999998,99999999,0,,,,,,,,,,,,,,2,1,2,1,1,2,,,,,,,,2,,,,2,1
